_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527df46a21e5709f6e95988),"","character in drama and indeed in Western literature.","Like the play itself, Hamlet the character is possibly the most discussed and contentious","In this play,","thumb|Innokenty Smoktunovsky as Hamlet in the acclaimed 1964 film by Grigori Kozintsev.","While conceding he is one of Shakespeare's greatest creations, critics are at odds over the inner motivations and psyche of this character.","Factual"
ObjectID(5527ee3fa21edceb734d65f8),"It was the top-selling game worldwide for 2007, selling","copies by January 2008, and over 13 million by May 2009.","over 7 million","under 7","The game won numerous awards from gaming websites, including IGN's Best Xbox 360 Game.","Gameplay","Factual"
ObjectID(5527d5d9a21e4a5a1c937bed),"The game and its sequel will be re-released","collection of revamped GameCube titles.","for the Wii, with motion controls, as part of a","in the Enjoy with Wii","Before the release of Metroid Prime 2: Echoes in 2004, Nintendo released a platinum colored GameCube bundled with a copy of Prime containing a special second disc, featuring both a preview trailer and a demo for Echoes, a timeline of Metroid games and an art gallery.","","Paraphrase"
ObjectID(5527e45ca21e3a63c2ac7ce2),"Manchester United Football Club is an English football","Old Trafford - a football stadium in Trafford, Greater Manchester.","club based at","club, based at the","-->","They are one of the most popular football clubs in the world, with over 330&nbsp;million supporters worldwide – almost 5% of the world's population. The club was a founding member of the Premier League in 1992, and has played in the top division of English football since 1938, with the exception of the 1974–75 season.","Paraphrase"
ObjectID(5527ea3da21e3a63c2ac9334),"A northern extension from 4th Levent to Ayazağa (Maslak) was opened","2009.","in January","on January 30,","The entire subway line was built by the cut-and-cover method to withstand an earthquake of up to 9.0 on the Richter magnitude scale.","The southern section of the metro from Taksim to Yenikapı, across the Golden Horn on a bridge and underground through the old city, has thus far been completed up to the Şişhane stop and is expected to become fully operational in 2009.","X"
ObjectID(5527ef93a21e5709f6e9bfd8),"","funded preliminary controlled trials of Dronabinol, synthetic THC (brand name Marinol®) as a treatment for Tourette's syndrome.","In 1998, the Tourette Syndrome Association","The TSA","PMID 9465342","After an initial traial on twelve patients showed that Marinol® reduced tics with no significant adverse effects, Muller-Vahl KR, Schneider U, Koblenz A, et al.","Other"
ObjectID(5527ea8fa21e5709f6e99412),"In 1902,","was added to the back of the church.","a round room","the Round Room","Statues of the twelve apostles, built by Bernieri and Company of Carrara, Italy, stood in front of the niches when the building was dedicated, but were destroyed in 1906 and were never replaced.","A stained glass window, in the nave of Stanford Memorial Church.","X"
ObjectID(5527f3dca21e3a63c2acb552),"In his first inaugural address on January 20, 1981, which Reagan himself wrote,Murray, Robert K.","(1993); p.","& Blessing, Tim H.","and Tim H. Blessing","thumb|right|The Reagans wave from the limousine taking them down Pennsylvania Avenue to the White House, right after the president's inauguration","80 he addressed the country's economic malaise arguing: ""Government is not the solution to our problems; government is the problem.""","Paraphrase"
ObjectID(5527f5eba21e0e4c0a9e117d),"","up with Stacy Peralta, and ask for a sponsorship from his skate shop.","You then meet","The Custom Skater then meets","The custom skater is sent on a dangerous odyssey to retrieve it, after which Eric proceeds to light the drug dealer's SUV on fire, as ""revenge"" for stealing his skateboard earlier in the game.","He makes it a deal, as long as you show him something original, and don't film in any local spots.","Factual"
ObjectID(5527e375a21e0e4c0a9dcef4),"In 2000-01, the","in The Barclays Premiership was 36 per cent.","foreign participation figure","number of foreign players(players hailing from outside of Britain) participating","","In season 04/05 the figure was 45 per cent.","Factual"
ObjectID(5527ef56a21e0e4c0a9deccb),"This is because there was a line for Fry ""it says here hell freezes over from","","novembre to march.""","November to March.""","When Bender says ""do you think you could survive a 300ft fall?"" Fry's lips move.","","Other"
ObjectID(5527e89aa21e5709f6e98780),"Besides charters, it incorporates information from the sworn testimony","","for the region.","from the region used to create .","c.1095)"" Oxford Dictionary of National Biography The organization is roughly geographical, with some information grouped by topic.","The documents are either in Latin or in Old English.Fleming ""Christ Church Canterbury's Anglo-Norman Cartulary"" Anglo-Norman Political Culture pp.","Paraphrase"
ObjectID(5527e47fa21e0e4c0a9dd7aa),"£50 million in","","August 2006 (Andriy Shevchenko, AC Milan to Chelsea)","October 2007 (Jack Townsend, Stansted f.c to Arsenal)","£29 million in July 2002 (Rio Ferdinand, Leeds United to Manchester United)","","Factual"
ObjectID(5527d711a21e3a63c2ac3812),"The surviving members of the Sex Pistols have","2002, and embarked on a US tour in 2003.","performed reunion gigs in 1996 and","reunited for the six month 'Filthy Lucre Tour' in 1996, two gigs in","Opinions, however, differ widely on McLaren's actual responsibility for the band's artistic and cultural relevance, with the evidence suggesting that McLaren was never fully in control of events, and played almost no role in creating the band's actual music and lyrics.","Members","Factual"
ObjectID(5527df9aa21e3a63c2ac6694),"The Enterprise crew","","travel back to their own time, the correct version of history restored.","quietly slips away and returns to their restored future.","Cochrane and Sloane greet the aliens, and eagerly introduce them to Earth's culture.","Cast","Factual"
ObjectID(5527dba0a21e4a5a1c939962),"Lennon attended the performance on the opening night, one of his earliest public appearances","","in public together.","with Ono.","After discussion between Lennon, Spinetti and the artistic director of the National Theatre, Sir Laurence Olivier, the play opened at the Old Vic in 1968.","","Paraphrase"
ObjectID(5527d603a21edceb734cfbee),"Artur Martin Phleps (29 November 1881 &ndash; 21 September 1944) was an Austro-Hungarian-born","officer who held the rank of Obergruppenführer in the Waffen-SS during World War II.","German and","Romanian and German","|laterwork=","An Austro-Hungarian Army officer in World War I, he served in the Romanian Army during the interwar period, before joining the military forces of Nazi Germany in 1941.","Factual"
ObjectID(5527d941a21e0e4c0a9da0eb),"Leonidas then visits the Oracle,","a customary payment in gold.","explaining his plan of war with the Persians and offers","proposing a strategy to repel the numerically-superior enemy, and offers t","Outraged and offended at their behavior, King Leonidas and his guards throw the messengers into a pit, resolving to face the Persians.","The priests of the Oracle, the Ephors having already been bribed by Xerxes, interpret her message to mean that Sparta should not go to war, so as to not interrupt the sacred Carneian festival.","Paraphrase"
ObjectID(5527d73ca21e3a63c2ac3988),"The other band playing was called Bazooka Joe, whose bass player was Stuart","Adam Ant.","Goddard on bass who would later become","Goddard, later known as","It was arranged by Matlock as he had been made by default this college's social event organiser as he was studying there at the time.","This gig would be followed by other performances at colleges/art schools for the remainder of 1975 until early 1976, when they started playing at clubs (like the 100 Club) and pubs (like The Nashville).","Paraphrase"
